Breeding_Value,species,latitude,longitude,state_of_origin,fips
3.705129726,JXC,41.40594,-72.48319,CT,9110
3.911484656,JXC,40.45564,-86.91359,IN,18157
4.085899652,JXC,40.45564,-86.91359,IN,18157
4.110006388,JXC,35.50069,-80.00032,NC,37123
4.188173209,JXC,41.34823,-86.31874,IN,18099
4.379428267,JXC,41.64387,-85.00077,IN,18151
4.420527049,JXC,41.4542,-85.3981,IN,18113
4.441495146,JXC,41.34823,-86.31874,IN,18099
4.626510429,JXC,39.37838,-91.14514,MO,29163
4.649687253,JXC,41.34823,-86.31874,IN,18099
4.883520602,JXC,41.64387,-85.00077,IN,18151
5.372430053,JXC,40.00032,-86.25027,IN,18011
